book_name,publisher,author,genres,file_name
Rich dad poor dad,NXB lao động xã hội,Robert T.Kiyosaki,tài chính,chagiauchangheo.pdf
Adoft Hitler - Chân dung một trùm Phát Xít,Nhà xuất bản khoa học xã hội,John Toland,chính trị lịch sử,chandungmotrumphatxit.pdf
Cây cam ngọt của tôi,Hội nhà văn,JOSÉ MAURO DE VASCONCELOS,tiểu thuyết,caycamngotcuatoi.pdf
Đắc nhân tâm,NXB trẻ,Dale Carnegie,phát triển bản thân,dacnhantam.pdf
Nhà giả kim,NXB văn học,Paulo Coelho,tiểu thuyết,nhagiakim.pdf
Gã hippy trên đường,NXB thanh niên,James Hadley Chase,tiểu thuyết-trinh thám,Gã Hippi Trên Đường (James Hadley Chase) thuviensach.vn.pdf
Thằng khùng,NXB văn hóa thông tin,James Hadley Chase,tiểu thuyết-trinh thám,Thằng Khùng (James Hadley Chase) thuviensach.vn.pdf
Pháo hiệu đỏ,NXB Tiến bộ - 1973,Georgy Beryozko,tiểu thuyết-trinh thám,Pháo Hiệu Đỏ (Georgy Beryozko) thuviensach.vn.pdf
Bóng ma trên mạng,NXB Công Thương,Kevin Mitnick,công nghệ thông tin,Bóng Ma Trên Mạng (Kevin Mitnick) thuviensach.vn.pdf
BIG DATA,NXB trẻ,Viktor Mayer-Schonberger,công nghệ thông tin,Dữ Liệu Lớn (Viktor Mayer-Schonberger) thuviensach.vn.pdf
Thằng Tơ Tưởng,NXB Trẻ,Nguyễn Công Kiệt,tiểu thuyết-lịch sử,Thằng Tơ Tưởng (Nguyễn Công Kiệt) thuviensach.vn.pdf
Pháo đài cấm,NXB Văn Hóa Văn Nghệ,Jason Rekulak,tiểu thuyết-lịch sử,Pháo Đài Cấm (Jason Rekulak) thuviensach.vn.pdf
Múa gặt,NXB Văn Hóa Thông Tin,Tess Gerritsen,lịch sử-quân sự,Mùa Gặt (Tess Gerritsen) thuviensach.vn.pdf
PUTIN - LOGIC CỦA QUYỀN LỰC,NXB Tổng Hợp Tp.Hcm,Hubert Seipel,chính trị-nhân vật lịch sử,Putin - Logic Của Quyền Lực (Hubert Seipel) thuviensach.vn.pdf
CUỘC ĐỜI CỦA LENIN,NXB Kim Đồng,Maria Prilezhayeva,chính trị-nhân vật lịch sử,Cuộc Đời Của Lenin (Maria Prilezhayeva) thuviensach.vn.pdf
NGHỆ THUẬT ĐÀM PHÁN,NXB Dân Trí,Donald J.Trump,"tâm lý, phát triển bản thân",Nghệ Thuật Đàm Phán (Donald J. Trump) thuviensach.vn.pdf
